name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Chicago,2025-03-12,50.3,36.9,41.4,50.3,31.5,36.6,23.7,51,0,0,0,,0,0,19.5,10.7,60,1010.3,20.2,10,167,14.5,6,10,2025-03-12T07:06:50,2025-03-12T18:54:11,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KORD,KMDW,F1983,KPWK"
Chicago,2025-03-13,45.9,36,40.2,41.8,32.1,35.6,33.5,76.9,0,2,0,,0,0,15,10.3,62.1,1011.3,15.8,9.6,211.6,18.2,7,10,2025-03-13T07:05:09,2025-03-13T18:55:20,0.48,Clear,Clear conditions throughout the day.,clear-day,
Chicago,2025-03-14,65.9,46.5,56.1,65.9,42.2,54.6,47.4,74.4,0.036,93,16.67,rain,0,0,33.3,23,155.1,1000.1,50.6,10.1,186.6,16.3,7,10,2025-03-14T07:03:27,2025-03-14T18:56:28,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
Chicago,2025-03-15,59.3,47.4,55,59.3,43.3,54.7,44.3,67.8,0.139,96,25,rain,0,0,30,18.3,195.6,989.3,49.8,11.9,169,14.9,5,10,2025-03-15T07:01:45,2025-03-15T18:57:37,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
Chicago,2025-03-16,45.6,35.5,38.7,41.3,28.8,32.1,27.5,64,0.441,33,12.5,rain,0,0,21,13,276,1003.8,57.1,14.2,180.8,15.7,6,10,2025-03-16T07:00:03,2025-03-16T18:58:45,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chicago,2025-03-17,51.5,31.4,41.6,51.5,25.8,37.4,25.8,53.9,0.016,10,8.33,"rain,snow",0,0,17.7,9.4,218,1013.9,19.1,15,221.1,19.1,7,10,2025-03-17T06:58:21,2025-03-17T18:59:53,0.61,Clear,Clear conditions throughout the day.,clear-day,
Chicago,2025-03-18,58.6,46.3,51.5,58.6,42.2,49.8,37,57.9,1.083,10,8.33,rain,0,0,21.7,12.8,197.8,1004.7,50,13.1,172.8,15,5,10,2025-03-18T06:56:39,2025-03-18T19:01:00,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chicago,2025-03-19,50.1,42.3,46.9,50.1,35.9,41.8,36.9,68.2,0.123,57,25,rain,0,0.9,23.3,14.1,263.6,1011.8,65.8,9.2,132,11.6,5,10,2025-03-19T06:54:56,2025-03-19T19:02:08,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Chicago,2025-03-20,46.7,27.9,36.9,43.4,18.8,30.4,25.9,64.9,0.402,57,12.5,rain,0,0.2,23.5,11.9,275.5,1018.2,61.3,15,226.1,19.5,7,10,2025-03-20T06:53:13,2025-03-20T19:03:15,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,
Chicago,2025-03-21,56.9,38.4,48.7,56.9,34.6,45.7,33.6,56.8,0.059,19.4,4.17,rain,0,0,33.1,15.9,228.9,1008.6,85.1,14.3,166.1,14.4,7,10,2025-03-21T06:51:30,2025-03-21T19:04:22,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chicago,2025-03-22,50.4,37.8,44.4,50.4,33.5,41.3,32.4,63.7,0.059,25.8,8.33,rain,0,0,23,7.8,45.5,1017.1,69.2,15,226.4,19.5,7,10,2025-03-22T06:49:47,2025-03-22T19:05:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chicago,2025-03-23,66.1,46.7,57.5,66.1,43,56.2,45.7,64.8,0,45.2,0,rain,0,0,44.7,18.6,168.9,1010.2,95.8,14.6,109.1,9.4,5,10,2025-03-23T06:48:05,2025-03-23T19:06:37,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Chicago,2025-03-24,62.3,49.5,57.6,62.3,45.2,57.4,40.3,56.7,0.004,45.2,4.17,rain,0,0,53.9,21,224,1005.4,56.3,12.5,203.1,17.5,7,10,2025-03-24T06:46:22,2025-03-24T19:07:43,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Chicago,2025-03-25,64.3,51.3,56.4,64.3,51.3,56.4,36.4,47.2,0.142,32.3,8.33,rain,0,0,36.5,15,203.7,1013.8,82.6,15,158.3,13.8,5,10,2025-03-25T06:44:39,2025-03-25T19:08:50,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chicago,2025-03-26,70.8,50.6,61.4,70.8,50.6,61.4,53.1,74.1,0,35.5,0,,0,0,40.9,16.6,177.6,1012.1,100,14,56.9,5.1,2,30,2025-03-26T06:42:56,2025-03-26T19:09:57,0.91,Overcast,Cloudy skies throughout the day with storms possible.,cloudy,
